wkt_geom;id;@id;2014worldcup;leisure;name;sport;wikipedia;capacity;city;photo
Point (-56.1216526999999985 -15.60404280000000021);node/2914827639;node/2914827639;venue;stadium;Arena Pantanal;soccer;de:Arena Pantanal;41112;Cuiabá;pantanal.jpg
Point (-49.27693270000000325 -25.44822249999999997);node/2914827657;node/2914827657;venue;stadium;Arena da Baixada;soccer;de:Arena da Baixada;39631;Cúritiba;baixada.png
Point (-60.0281591999999975 -3.08328779999999991);node/2914827679;node/2914827679;venue;stadium;Arena da Amazônia;soccer;de:Arena da Amaz%C3%B4nia;40549;Manaus;manaus.jpg
Point (-51.23594200000000143 -30.06553889999999996);node/2914836015;node/2914836015;venue;stadium;Estádio Beira-Rio;soccer;de:Est%C3%A1dio Beira-Rio;43394;Pôrto Alegre;beirario.jpg
Point (-46.4742079999999973 -23.54530409999999918);node/2914839228;node/2914839228;venue;stadium;Arena Corinthians;soccer;de:Arena Corinthians;62601;São Paulo;saopaulo.jpg
Point (-38.50422559999999805 -12.97878599999999949);node/2914843202;node/2914843202;venue;stadium;Arena Fonte Nova;soccer;de:Arena Fonte Nova;51900;Salvador da Bahia;fontenova.jpg
Point (-43.23018509999999992 -22.91213129999999865);node/2914845713;node/2914845713;venue;stadium;Estádio do Maracanã;soccer;de:Est%C3%A1dio do Maracan%C3%A3;74738;Rio de Janeiro;maracana.jpg
Point (-35.00815659999999951 -8.04071489999999933);node/2914855240;node/2914855240;venue;stadium;Arena Pernambuco;soccer;de:Arena Pernambuco;42610;São Lourenço da Mata;pernambuco.jpg
Point (-35.21240310000000306 -5.8267420999999997);node/2914859129;node/2914859129;venue;stadium;Arena das Dunas;soccer;de:Arena das Dunas;39971;Natal;dasdunas.jpg
Point (-38.52249309999999838 -3.80723630000000002);node/2914864297;node/2914864297;venue;stadium;Estádio Plácido Aderaldo Castelo;soccer;de:Est%C3%A1dio Pl%C3%A1cido Aderaldo Castelo;60342;Fortaleza;castelo.jpg
Point (-43.97106279999999856 -19.86589199999999877);node/2914867498;node/2914867498;venue;stadium;Estádio Governador Magalhães Pinto;soccer;de:Est%C3%A1dio Governador Magalh%C3%A3es Pinto;58170;Belo Horizonte;mineirao.jpg
Point (-47.89920699999999698 -15.78351050000000022);node/2914868112;node/2914868112;venue;stadium;Estádio Nacional de Brasília;soccer;de:Est%C3%A1dio Nacional de Bras%C3%ADlia;69349;Brasilia;brasilia.jpg
